ID_event,Year,Month,TimeStep,Lat,Lon,Vmax_ms,RMW_km,category,r_km,source,geometry
03785,37,8,32.0,16.2,296.3,60.7,32.5287187527,4,230.78607740627015,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (296.3 16.2)
03785,37,8,33.0,16.3,295.4,61.2,33.7158982693,4,327.02860533945295,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (295.4 16.3)
03785,37,8,34.0,16.4,294.5,59.7,34.9030777858,4,423.4225276516482,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (294.5 16.4)
03785,37,8,35.0,16.4,293.5,59.4,36.0902573023,4,530.0517025209757,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (293.5 16.4)
03785,37,8,36.0,16.4,292.5,60.0,37.2774368188,4,636.718096207581,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (292.5 16.4)
03785,37,8,37.0,16.4,291.4,59.6,38.4646163354,4,754.0728825759004,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (291.4 16.4)
03785,37,8,38.0,16.3,290.4,58.2,39.6517958519,4,860.7699335982911,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (290.4 16.3)
03785,37,8,39.0,16.3,289.3,57.0,40.8389753684,3,978.1965247481102,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (289.3 16.3)
03785,37,8,40.0,16.3,288.2,54.8,42.026154884899995,3,1095.6179413179775,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (288.2 16.3)
03785,37,8,41.0,16.3,287.2,53.9,43.213334401400004,3,1202.3589835159544,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (287.2 16.3)
03785,37,8,42.0,16.3,286.1,53.3,44.400513918,3,1319.7667069726713,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (286.1 16.3)
03785,37,8,43.0,16.4,285.1,54.0,45.5876934345,3,1426.2599401973175,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (285.1 16.4)
03785,37,8,44.0,16.5,284.0,53.6,46.774872951000006,3,1543.41410554032,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (284 16.5)
03785,37,8,45.0,16.6,282.9,52.6,47.9620524675,3,1660.541819667502,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (282.9 16.6)
